#IAU names		IVS names		Stotal		Sunresolved		Speak		rms		bmaj		bmin		Position Angle		Dynamic range		Image quality	
#[J2000]		-		[Jy]		[Jy]		[Jy]		[Jy/beam]		mas]		[mas]		[°]		-		-	
J1232-0224	 	1229-021	 	0.523097	 	0.523	 	0.454	 	0.016	 	12.9	 	3.07	 	-52.9	 	28	 	0.671	  
J1425+1424	 	1423+146	 	0.411817	 	0.412	 	0.347	 	0.001	 	5.37	 	3.25	 	-86.9	 	263	 	0.669	  
J1512-0905	 	1510-089	 	1.883566	 	1.884	 	1.78	 	0.008	 	6.36	 	4	 	66.5	 	219	 	0.782	  
J1658+0741	 	1655+077	 	1.1288	 	1.129	 	1.07	 	0.006	 	8.44	 	3.17	 	64.6	 	188	 	0.587	  
J1728+0427	 	1725+044	 	0.629201	 	0.629	 	0.612	 	0.01	 	7.91	 	3.27	 	65.3	 	64	 	0.656	  
J1740+5211	 	1739+522	 	0.711397	 	0.711	 	0.69	 	0.002	 	9.63	 	4.01	 	-45.3	 	296	 	0.555	  
J1850+2825	 	1848+283	 	0.677652	 	0.678	 	0.562	 	0.006	 	6.7	 	3.01	 	-60.6	 	99	 	0.583	  
J1911-2006	 	1908-201	 	1.60176	 	1.602	 	1.55	 	0.005	 	5.55	 	5.15	 	-48.4	 	312	 	0.635	  
J1923-2104	 	1920-211	 	1.55801	 	1.558	 	1.55	 	0.019	 	5.82	 	5.02	 	-40.2	 	83	 	0.671	  
J1927+7358	 	1928+738	 	5.70129	 	5.701	 	5.58	 	0.022	 	9.26	 	5.15	 	-15.6	 	257	 	0.69	  
J2005+7752	 	2007+777	 	0.505826	 	0.506	 	0.486	 	0.007	 	6.67	 	5.43	 	-39	 	71	 	0.558	  
J2015+3710	 	2013+370	 	4.14914	 	4.149	 	4.06	 	0.015	 	16.4	 	3.15	 	53.6	 	276	 	0.57	  
J2022+7611	 	2023+760	 	0.534823	 	0.535	 	0.377	 	0.003	 	7.13	 	5.43	 	-34.5	 	136	 	0.509	  
J2148+6107	 	2146+608	 	0.408848	 	0.409	 	0.359	 	0.026	 	7.25	 	3.41	 	64	 	14	 	0.546	  
J2203+1725	 	2201+171	 	0.494439	 	0.494	 	0.49	 	0.003	 	7.44	 	2.99	 	-58.5	 	184	 	0.711	  
J2322+5057	 	2320+506	 	1.20542	 	1.205	 	0.988	 	0.007	 	8.78	 	3.83	 	-47.7	 	133	 	0.715	  
J2348-1631	 	2345-167	 	1.47495	 	1.475	 	1.48	 	0.012	 	8.1	 	3.68	 	-47.6	 	128	 	0.604	  
J1229+0203	 	3C273B	 	8.481348	 	7.931	 	4.97	 	0.003	 	13.1	 	3	 	-53.7	 	1757	 	0.686	  
J1459+7140	 	3C309.1	 	0.422072	 	0.291	 	0.286	 	0.009	 	6.28	 	5.06	 	-37.3	 	33	 	0.7	  
J1806+6949	 	3C371	 	1.4759	 	1.476	 	1.23	 	0.004	 	6.62	 	4.73	 	-39.5	 	318	 	0.586	  
J0319+4130	 	3C84	 	30.7088	 	30.709	 	23.4	 	0.022	 	5.51	 	3.02	 	-73	 	1048	 	0.939	  
J0241-0815	 	NGC1052	 	2.202867	 	2.039	 	1.55	 	0.006	 	5.47	 	3.86	 	-70.1	 	266	 	0.681	  
J1632+8232	 	NGC6251	 	0.60857	 	0.577	 	0.579	 	0.003	 	5.89	 	5.38	 	-63.4	 	230	 	0.673	  
J1317+3425	 	OP326	 	0.346224	 	0.346	 	0.32	 	0.006	 	5.2	 	4	 	79.4	 	57	 	0.689	  
