#IAU names		IVS names		SNR		SNR		KT-KU		KT-KY		KU-KY		KT-KU		KT-KY		KU-KY		Obscode		New detection	
#[J1950]		-		KT		KU		[kλ]		[kλ]		[kλ]		[Jy]		[Jy]		[Jy]		-		Y/N	
0025+197	 	0025+197	 	94.8	 	95.1	 	20643.52	 	36078.043	 	19536.607	 	0.163	 	0.137	 	0.206	 	s14jl01c	 	Y	  
0025+197	 	0025+197	 	99.5	 	101.3	 	22970.707	 	36426.45	 	16291.548	 	0.257	 	0.216	 	0.234	 	s14jl01d	 	Y	  
0025+197	 	0025+197	 	109	 	107.6	 	22549.413	 	36341.868	 	19636.485	 	-1	 	0.241	 	-1	 	s14jl01d	 	Y	  
0025+197	 	0025+197	 	87.7	 	-1	 	-1	 	36464.75	 	-1	 	-1	 	0.247	 	-1	 	s14jl01a	 	Y	  
0025+197	 	0025+197	 	96.3	 	-1	 	-1	 	36205.387	 	-1	 	-1	 	0.305	 	-1	 	s14jl01a	 	Y	  
0026+346	 	0026+346	 	97.7	 	109.7	 	25823.545	 	35807.219	 	16836.84	 	-1	 	0.152	 	-1	 	s14jl01d	 	Y	  
0026+346	 	0026+346	 	104.7	 	105	 	25957.418	 	36315.205	 	19900.483	 	0.152	 	0.158	 	0.253	 	s14jl01d	 	Y	  
0026+346	 	0026+346	 	73.5	 	-1	 	-1	 	36436.859	 	-1	 	-1	 	0.223	 	-1	 	s14jl01a	 	Y	  
0026+346	 	0026+346	 	81.3	 	-1	 	-1	 	36465.251	 	-1	 	-1	 	0.254	 	-1	 	s14jl01a	 	Y	  
0027+703	 	0027+703	 	104.7	 	-1	 	-1	 	29870.095	 	-1	 	-1	 	0.425	 	-1	 	s14jl01a	 	Y	  
0027+703	 	0027+703	 	103.5	 	-1	 	-1	 	29504.38	 	-1	 	-1	 	0.437	 	-1	 	s14jl01a	 	Y	  
0039+230	 	0039+230	 	85	 	102.4	 	14609.538	 	33958.947	 	21117.117	 	0.144	 	0.14	 	0.1	 	s14jl01c	 	Y	  
0039+230	 	0039+230	 	97.5	 	115.2	 	19576.93	 	35643.465	 	20296.371	 	-1	 	0.142	 	-1	 	s14jl01c	 	Y	  
0039+230	 	0039+230	 	80.5	 	-1	 	-1	 	36349.375	 	-1	 	-1	 	0.199	 	-1	 	s14jl01a	 	Y	  
0039+230	 	0039+230	 	83.7	 	-1	 	-1	 	36422.991	 	-1	 	-1	 	0.25	 	-1	 	s14jl01a	 	Y	  
0039+230	 	0039+230	 	120.4	 	126.8	 	23601.292	 	36396.011	 	16751.904	 	-1	 	0.29	 	-1	 	s14jl01d	 	Y	  
0039+230	 	0039+230	 	113.3	 	120.7	 	23478.893	 	36404.99	 	19972.995	 	0.247	 	0.332	 	0.285	 	s14jl01d	 	Y	  
0055-059	 	0055-059	 	87.2	 	93.8	 	27158.679	 	32950.016	 	12832.135	 	0.174	 	0.159	 	0.218	 	s14jl01c	 	Y	  
0055-059	 	0055-059	 	84.1	 	86.9	 	25624.899	 	34987.38	 	11901.936	 	0.168	 	0.172	 	0.168	 	s14jl01c	 	Y	  
0055-059	 	0055-059	 	82.5	 	-1	 	-1	 	29063.72	 	-1	 	-1	 	0.217	 	-1	 	s14jl01a	 	Y	  
0055-059	 	0055-059	 	97.5	 	99	 	27316.595	 	32443.349	 	13311.553	 	0.232	 	0.223	 	0.251	 	s14jl01d	 	Y	  
0055-059	 	0055-059	 	93.8	 	95.4	 	26087.232	 	34575.382	 	11897.403	 	-1	 	0.229	 	-1	 	s14jl01d	 	Y	  
0055-059	 	0055-059	 	82.4	 	-1	 	-1	 	31383.585	 	-1	 	-1	 	0.241	 	-1	 	s14jl01a	 	Y	  
0055+060	 	0055+060	 	85.6	 	93.6	 	21197.72	 	36453.302	 	16562.797	 	0.205	 	0.144	 	-1	 	s14jl01d	 	N	  
0055+060	 	0055+060	 	94.8	 	99.9	 	25002.554	 	35992.202	 	15829.324	 	-1	 	0.167	 	-1	 	s14jl01c	 	N	  
0055+060	 	0055+060	 	100.3	 	100.1	 	18487.002	 	35701.418	 	19489.34	 	0.077	 	-1	 	0.195	 	s14jl01d	 	N	  
0055+060	 	0055+060	 	101.5	 	97.1	 	26941.044	 	34794.764	 	16910.279	 	0.182	 	0.228	 	0.151	 	s14jl01c	 	N	  
0055+060	 	0055+060	 	95	 	-1	 	-1	 	35373.933	 	-1	 	-1	 	0.264	 	-1	 	s14jl01a	 	N	  
0055+060	 	0055+060	 	114.2	 	94.6	 	-1	 	33947.723	 	-1	 	-1	 	0.335	 	-1	 	s14jl01a	 	N	  
0055+300	 	NGC0315	 	87.8	 	86.7	 	11841.246	 	31780.698	 	22301.71	 	-1	 	0.142	 	-1	 	s14jl01c	 	Y	  
